CategoryCode,ItemCode,Week,WeeklySales
1,1090303,4,12
1,1090114,4,15
2,111436,4,15
3,1097143,4,75
1,35530,4,42
1,1090294,4,0
2,117610,5,146
4,836584,5,663
2,172582,5,59
2,1006009,5,21
1,145978,5,127
1,1032550,5,41
2,1067092,5,553
1,1050046,5,91
2,815101,5,93
2,39436,5,61
1,371239,5,42
2,1103056,5,99
2,836125,5,165
3,131983,5,139
1,76399,5,81
2,172033,5,527
3,1090024,5,60
2,1067074,5,175
2,1071106,5,124
2,30877,5,308
2,110320,5,186
3,1101661,5,120
2,877624,5,98
2,1044502,5,51
2,838456,5,56
2,745945,5,161
2,1090240,5,86
1,59047,5,35
1,42424,5,102
1,379249,5,145
2,57058,5,22
1,3427,5,150
3,16936,5,231
1,1048975,5,48
1,1047967,5,492
1,1054978,5,190
4,1074823,5,1147
3,1066570,5,385
3,169504,5,2830
1,42496,5,107
1,1056463,5,169
2,87559,5,64
2,1098493,5,32
2,59749,5,141
1,1075651,5,37
2,267478,5,28
1,371104,5,27
1,416212,5,30
2,1064473,5,161
2,1101769,5,78
1,1067119,5,104
2,132028,5,748
4,23200,5,261
1,1061341,5,184
1,86992,5,189
3,1060630,5,161
1,17296,5,2399
2,1071115,5,50
1,17287,5,65
3,88450,5,525
2,1101571,5,22
2,1026871,5,49
1,119554,5,567
4,1024810,5,215
2,138742,5,89
3,893824,5,242
1,48940,5,58
2,211309,5,58
4,731104,5,76
3,1081060,5,341
2,124954,5,149
2,1076920,5,38
2,1101562,5,38
1,1085749,5,28
4,123307,5,1475
2,837943,5,378
2,118033,5,53
1,1044682,5,179
2,75886,5,25
4,245581,5,304
1,1058713,5,144
1,1032568,5,35
2,1090276,5,54
1,36898,5,271
1,1032586,5,62
2,1105027,5,42
2,906595,5,31
2,903976,5,78
1,35584,5,13
2,23569,5,128
3,1081069,5,59
4,1082743,5,25
2,906586,5,42
3,1063600,5,40
2,262384,5,48
2,1070836,5,82
2,1105009,5,47
2,1010068,5,57
1,43738,5,53
2,687616,5,30
1,839356,5,202
2,1076938,5,38
2,174436,5,256
2,87046,5,35
2,20824,5,716
2,40759,5,186
2,173617,5,40
2,216151,5,73
1,142756,5,121
1,1021264,5,40
2,210868,5,23
4,1003147,5,274
2,1098502,5,21
3,1064572,5,53
1,839374,5,157
2,399220,5,81
2,1006090,5,53
2,1070818,5,61
3,1047130,5,251
1,1081339,5,67
2,1101553,5,23
1,1081321,5,56
4,872260,5,48
3,1081078,5,52
2,64978,5,25
2,248272,5,95
2,836152,5,66
1,1030948,5,18
1,24136,5,79
1,1044691,5,64
3,397213,5,77
1,38518,5,31
2,50785,5,94
1,370195,5,184
2,858886,5,32
4,1003192,5,75
2,9925,5,45
2,913561,5,46
1,35449,5,37
2,65788,5,29
2,43630,5,113
1,1032541,5,550
1,1044619,5,134
2,1090249,5,100
2,267496,5,30
4,1003156,5,239
2,111382,5,44
2,41830,5,73
3,1013335,5,29
1,1032532,5,375
2,32245,5,120
1,1061638,5,173
1,43657,5,36
2,1090258,5,100
1,755584,5,197
2,999403,5,41
2,1071124,5,65
2,99079,5,75
2,225259,5,34
1,124774,5,81
1,1032559,5,40
2,213802,5,25
2,1105018,5,27
1,1044610,5,32
4,1060909,5,238
3,37861,5,473
2,1006108,5,42
4,1003183,5,57
1,1015621,5,11
1,1049776,5,72
1,1084498,5,94
2,1092184,5,47
3,132334,5,63
3,1081087,5,115
4,753613,5,108
1,1090105,5,17
1,3418,5,185
2,865933,5,69
2,1076929,5,15
2,130993,5,113
1,145330,5,28
1,1067128,5,18
2,86974,5,52
1,1068883,5,16
2,1006099,5,34
1,1090303,5,7
2,111436,5,21
3,1097143,5,98
3,7666,5,89
1,35530,5,53
1,1090294,5,16
1,1090114,5,15
1,37510,5,25
2,117610,6,102
4,836584,6,706
2,1067092,6,448
2,815101,6,113
2,39436,6,51
1,371239,6,32
2,1103056,6,81
2,836125,6,163
3,131983,6,143
1,76399,6,86
2,172033,6,448
2,1067074,6,174
2,1071106,6,117
2,30877,6,340
2,110320,6,167
2,877624,6,97
2,1044502,6,60
2,745945,6,96
1,59047,6,15
1,42424,6,110
2,57058,6,23
1,3427,6,166
3,1090024,6,64
3,16936,6,240
1,1048975,6,54
1,1047967,6,513
4,1074823,6,1218
3,1066570,6,312
3,169504,6,2772
1,1056463,6,161
2,87559,6,67
2,1098493,6,34
2,59749,6,158
1,1075651,6,41
2,267478,6,36
1,371104,6,24
1,416212,6,34
2,1064473,6,160
1,1067119,6,82
2,132028,6,749
1,1061341,6,154
3,1060630,6,167
3,1101661,6,100
2,1071115,6,54
1,17287,6,65
3,88450,6,395
2,1026871,6,46
1,1054978,6,195
1,119554,6,631
4,1024810,6,225
2,138742,6,102
1,17296,6,2203
3,893824,6,208
2,1101571,6,20
4,731104,6,56
2,124954,6,130
2,1076920,6,39
2,1101562,6,33
4,123307,6,1539
2,837943,6,389
2,118033,6,47
1,1044682,6,154
4,245581,6,277
1,1058713,6,149
2,1090276,6,49
1,36898,6,265
3,1081060,6,329
2,1105027,6,45
2,906595,6,35
2,172582,6,60
2,903976,6,103
1,35584,6,15
2,23569,6,139
4,1082743,6,30
2,906586,6,40
3,1063600,6,44
2,262384,6,55
2,1070836,6,87
2,1105009,6,50
2,838456,6,62
2,1010068,6,77
2,1090240,6,95
2,687616,6,46
1,839356,6,140
2,174436,6,287
2,87046,6,30
2,1076938,6,28
1,1032568,6,26
2,40759,6,174
2,173617,6,28
2,216151,6,78
1,142756,6,122
1,1021264,6,36
2,210868,6,26
4,1003147,6,248
2,1098502,6,28
1,839374,6,91
2,399220,6,93
2,1006090,6,61
2,1070818,6,60
3,1047130,6,237
2,1101553,6,24
4,872260,6,37
3,1081078,6,53
2,64978,6,29
2,248272,6,98
2,20824,6,728
1,1032586,6,71
2,836152,6,78
1,1030948,6,15
1,24136,6,60
1,1044691,6,85
3,397213,6,35
3,1081069,6,64
1,38518,6,49
1,1081321,6,54
2,858886,6,31
4,1003192,6,97
2,9925,6,44
2,913561,6,39
1,1032550,6,35
2,65788,6,41
1,370195,6,200
2,43630,6,112
1,1044619,6,116
2,1090249,6,110
2,267496,6,42
4,1003156,6,246
2,41830,6,73
2,1006009,6,19
3,1013335,6,24
1,1032532,6,356
2,32245,6,136
1,1061638,6,181
1,43657,6,36
1,145978,6,136
2,50785,6,69
4,23200,6,348
2,1071124,6,47
2,99079,6,88
1,42496,6,114
1,1050046,6,85
3,1064572,6,45
1,124774,6,87
1,1032559,6,43
1,1085749,6,32
2,213802,6,29
2,1105018,6,32
1,35449,6,37
1,1044610,6,32
4,1060909,6,288
1,43738,6,64
2,1101769,6,61
1,1032541,6,515
1,755584,6,176
1,379249,6,158
2,111382,6,58
2,1006108,6,70
4,1003183,6,56
1,1015621,6,12
1,1049776,6,98
3,37861,6,438
1,1084498,6,123
2,1092184,6,62
3,132334,6,98
3,1081087,6,156
4,753613,6,104
1,1081339,6,71
1,1090105,6,20
1,3418,6,192
2,225259,6,40
2,75886,6,39
2,1076929,6,12
1,86992,6,183
2,130993,6,76
1,48940,6,58
2,211309,6,60
1,1067128,6,20
2,999403,6,44
2,86974,6,38
1,1068883,6,15
2,865933,6,55
2,1090258,6,58
2,111436,6,28
1,145330,6,36
3,1097143,6,82
3,7666,6,156
1,35530,6,45
2,1006099,6,26
1,1090294,6,28
1,1090114,6,17
1,1090303,6,9
1,37510,6,14
4,836584,7,684
1,1061341,7,132
1,1044610,7,42
1,59047,7,28
2,39436,7,44
1,371239,7,51
4,1060909,7,235
2,1103056,7,75
2,836125,7,166
3,131983,7,149
1,76399,7,79
2,1010068,7,135
1,1021264,7,55
2,118033,7,47
2,110320,7,203
1,145978,7,154
1,1050046,7,154
2,1044502,7,57
2,43630,7,122
2,745945,7,71
2,87046,7,35
4,1024810,7,237
1,42424,7,133
2,57058,7,16
1,3427,7,197
3,1090024,7,66
3,16936,7,242
1,1048975,7,61
1,1047967,7,502
4,1074823,7,1025
3,1066570,7,291
2,173617,7,42
2,1071106,7,106
3,169504,7,2607
1,1032541,7,392
4,1003156,7,234
3,1081087,7,148
1,1056463,7,144
2,87559,7,64
2,59749,7,187
2,41830,7,77
1,42496,7,145
2,267478,7,32
1,371104,7,44
1,370195,7,188
1,416212,7,40
2,1064473,7,147
1,1067119,7,73
2,132028,7,743
1,37510,7,17
3,1060630,7,148
3,1101661,7,109
2,1071115,7,49
3,88450,7,370
1,1032559,7,46
2,1026871,7,36
1,35530,7,46
1,1054978,7,198
1,1058713,7,149
2,1067074,7,148
2,30877,7,294
1,119554,7,715
2,138742,7,97
4,245581,7,320
2,1067092,7,395
1,17296,7,2040
1,48940,7,55
2,1101571,7,17
1,1032586,7,72
1,1044682,7,217
4,731104,7,73
1,145330,7,52
2,172033,7,217
2,124954,7,100
2,1076920,7,38
2,1101562,7,29
4,123307,7,1514
1,379249,7,181
2,837943,7,394
2,32245,7,148
1,1044691,7,98
2,1090276,7,41
1,1049776,7,101
2,248272,7,88
1,36898,7,290
3,1081060,7,251
2,1105027,7,45
2,906595,7,36
2,172582,7,96
2,903976,7,95
4,23200,7,444
2,99079,7,91
1,35584,7,21
1,1044619,7,144
1,86992,7,184
4,1082743,7,53
3,1063600,7,39
2,1070836,7,88
2,1105009,7,40
3,7666,7,241
4,872260,7,42
2,838456,7,66
1,142756,7,123
1,17287,7,82
2,1090240,7,127
2,687616,7,71
2,865933,7,64
2,174436,7,255
1,1032568,7,31
2,40759,7,228
3,1047130,7,231
1,1032550,7,46
1,1081321,7,54
2,836152,7,106
4,1003147,7,216
2,65788,7,48
1,43657,7,32
1,3418,7,239
1,839374,7,93
1,124774,7,87
2,399220,7,100
2,1006090,7,52
2,1070818,7,47
1,1068883,7,22
2,1101553,7,25
3,1081078,7,63
2,64978,7,32
2,117610,7,54
2,20824,7,516
1,1030948,7,17
3,132334,7,129
2,23569,7,100
1,24136,7,71
1,755584,7,190
3,397213,7,39
1,43738,7,74
1,38518,7,68
2,877624,7,113
2,858886,7,39
2,9925,7,49
2,913561,7,38
2,1090249,7,116
2,906586,7,41
2,267496,7,40
2,262384,7,59
1,1032532,7,323
2,1006009,7,21
1,1061638,7,189
2,50785,7,69
3,1013335,7,21
1,1015621,7,13
2,815101,7,117
3,1081069,7,55
1,1090114,7,16
2,1071124,7,52
1,1084498,7,130
3,1064572,7,41
2,75886,7,35
2,111382,7,58
2,1098502,7,31
2,213802,7,34
2,1098493,7,28
2,1105018,7,25
4,1003192,7,86
2,1101769,7,41
2,1076938,7,28
4,1003183,7,59
2,1006108,7,67
2,86974,7,52
3,37861,7,459
2,216151,7,68
2,1092184,7,79
2,225259,7,46
4,753613,7,85
1,1081339,7,65
3,893824,7,192
2,1090258,7,106
1,35449,7,47
2,1076929,7,11
1,1075651,7,42
2,130993,7,82
1,839356,7,105
2,211309,7,61
1,1090105,7,19
1,1067128,7,22
2,999403,7,29
1,1090303,7,11
1,1090294,7,34
2,111436,7,34
3,1097143,7,90
2,210868,7,26
2,1006099,7,20
1,1085749,7,33
1,1077118,7,0
1,1061341,8,146
1,1044610,8,54
1,59047,8,32
4,1060909,8,193
2,1010068,8,127
1,1021264,8,52
1,76399,8,87
2,118033,8,42
1,145978,8,170
1,1050046,8,160
2,43630,8,118
2,87046,8,37
4,1024810,8,299
2,173617,8,126
2,1103056,8,62
1,1032541,8,329
4,1003156,8,231
3,1081087,8,152
2,41830,8,85
1,42496,8,189
1,3427,8,188
1,370195,8,229
1,37510,8,25
2,1064473,8,142
1,1032559,8,61
2,132028,8,682
1,35530,8,45
1,1058713,8,174
2,1067074,8,115
2,30877,8,298
4,245581,8,333
2,1067092,8,423
1,48940,8,57
1,1032586,8,81
1,1044682,8,237
1,145330,8,58
3,88450,8,314
1,379249,8,190
3,1060630,8,151
1,1047967,8,463
2,32245,8,131
1,1044691,8,89
1,1049776,8,130
2,248272,8,69
4,23200,8,608
2,99079,8,87
1,1044619,8,134
1,86992,8,209
3,7666,8,467
4,872260,8,46
1,142756,8,124
2,865933,8,75
2,174436,8,253
2,1071115,8,37
3,1047130,8,246
1,1032550,8,28
1,1081321,8,52
2,836152,8,106
2,59749,8,241
2,65788,8,49
2,837943,8,390
1,1054978,8,215
1,43657,8,29
1,3418,8,278
1,124774,8,95
2,124954,8,77
1,1068883,8,23
3,1066570,8,250
2,39436,8,50
3,132334,8,142
1,42424,8,152
1,755584,8,166
1,43738,8,82
1,36898,8,287
2,1071106,8,106
4,123307,8,1663
1,1048975,8,55
3,169504,8,2706
2,687616,8,80
4,1003147,8,215
1,35584,8,23
2,903976,8,100
2,1090249,8,72
2,262384,8,69
1,1032532,8,392
2,1006009,8,20
2,20824,8,498
1,1061638,8,214
2,50785,8,68
1,24136,8,83
1,119554,8,722
1,1015621,8,12
1,416212,8,34
2,815101,8,150
1,1090114,8,20
2,1006090,8,79
2,745945,8,52
2,858886,8,40
2,906586,8,41
2,172033,8,124
1,1084498,8,145
4,1074823,8,636
2,1090240,8,226
2,1044502,8,57
2,40759,8,289
3,1090024,8,67
2,75886,8,44
1,371239,8,52
2,111382,8,53
2,1098502,8,25
2,399220,8,127
4,836584,8,730
2,138742,8,102
3,1101661,8,129
4,1003183,8,52
2,1105018,8,25
2,9925,8,46
3,131983,8,136
2,86974,8,74
